Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date,mentions before,total posts before,normalized mentions before,upvotes before,mentions after,total posts after,normalized mentions after,upvotes after
Assassin's Creed III: Liberation,Vita,2012,Action,Ubisoft,1.06,0.96,0.12,0.48,2.64,70,142,7.2,636,Ubisoft,M,"Assassin's Creed,Assassin's Creed III,Liberation,Assassin's Creed III: Liberation",10/30/2012,7,41853,0.000167252,7,11,49845,0.000220684,9
Your Shape: Fitness Evolved,Xbox 360,2010,Sports,Ubisoft,1.58,0.82,0,0.22,2.64,73,64,7.5,50,Ubisoft Montreal,E,"Fitness Evolved,Your Shape,Your Shape: Fitness Evolved",11/4/2010,0,11812,0,0,2,14316,0.000139704,2
The ICO & Shadow of the Colossus Collection,PS3,2011,Adventure,Sony Computer Entertainment,1.34,0.68,0.26,0.34,2.62,nan,nan,nan,nan,nan,nan,The ICO & Shadow of the Colossus Collection,9/27/2011,0,29198,0,0,32,31619,0.00101205,228
MAG: Massive Action Game,PS3,2010,Shooter,Sony Computer Entertainment,1.54,0.58,0.18,0.32,2.62,nan,nan,nan,nan,nan,nan,"MAG: Massive Action Game,MAG,Massive Action Game",1/26/2010,20,8180,0.002444988,25,2,9219,0.000216943,1
Yoshi's Woolly World,Wii U,2015,Platform,Nintendo,1.24,0.94,0.22,0.2,2.6,78,166,8.5,752,Good-Feel,E,Yoshi's Woolly World,10/16/2015,0,30762,0,0,11,38008,0.000289413,8
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,1,0.32,1.16,0.1,2.58,68,50,8.2,50,Creatures Inc.,E,"Guardian Signs,Pokemon,Pokemon Ranger: Guardian Signs,Pokemon Ranger",10/4/2010,99,11801,0.00838912,1962,72,11672,0.006168609,1193
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,1.5,1.46,0.12,0.49,3.59,72,138,7.433333333,902,Ubisoft Sofia,M,"Assassin's Creed,Rogue,Assassin's Creed: Rogue",11/11/2014,14,28394,0.000493062,69,28,31177,0.000898098,735
The LEGO Movie Videogame,Xbox 360,2014,Action,Warner Bros. Interactive Entertainment,2.97,2.58,0.11,0.7,6.35,nan,nan,6.744444444,296,TT Games,E10+,The LEGO Movie Videogame,2/7/2014,0,38508,0,0,0,40862,0,0
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,1.28,0.84,0.81,0.37,3.28,91,168,8.033333333,3129,From Software,T,"Dark Souls II,Dark Souls",3/11/2014,340,40437,0.008408141,21162,0,36422,0,0
Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.96,0.7,0.72,0.14,2.54,83,150,8.7,974,"Opus, Project Sora",E10+,"Uprising,Kid Icarus: Uprising,Kid Icarus",3/23/2012,23,42403,0.000542414,40,20,44060,0.000453926,31
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,1.26,1.22,0.62,0.44,3.56,nan,nan,5.88,3360,Kojima Productions,M,"Metal Gear Solid V: Ground Zeroes,Metal Gear Solid V,MGS,Ground Zeroes",3/18/2014,73,38326,0.001904712,2225,168,34786,0.004829529,4080
WWE '12,Xbox 360,2011,Fighting,THQ,2.24,1.33,0.02,0.44,4.05,72,138,6.175,267,Yuke's,T,"WWE '12,WWE",11/22/2011,14,48583,0.000288167,11,28,37295,0.000750771,34
Need for Speed Rivals,PS3,2013,Racing,Electronic Arts,1.53,2.09,0.11,0.54,4.27,77.4,58,4.86,1074,Ghost Games,E10+,Need for Speed Rivals,11/15/2013,9,44506,0.00020222,9,0,50970,0,0
EA Sports Active 2,Wii,2010,Sports,Electronic Arts,2.22,1.21,0,0.38,3.82,76,57,6.75,67,EA Canada,E,"EA Sports Active 2,EA Sports Active",11/16/2010,0,12667,0,0,1,15009,6.66E-05,1
LittleBigPlanet PS Vita,Vita,2012,Platform,Sony Computer Entertainment,0.7,1.22,0.04,0.54,2.5,88,142,8.6,696,"Tarsier Studios, Double Eleven",E,LittleBigPlanet PS Vita,9/19/2012,1,45889,2.18E-05,1,0,42131,0,0
LEGO The Lord of the Rings,Xbox 360,2012,Action,Warner Bros. Interactive Entertainment,2.49,2.23,0,0.6,5.3,nan,nan,7.7,424,TT Games,E10+,LEGO The Lord of the Rings,10/30/2012,0,41853,0,0,18,49845,0.000361119,2690
Hyrule Warriors,Wii U,2014,Action,Nintendo,1.16,0.84,0.26,0.2,2.46,76,162,8.3,1324,Omega Force,T,Hyrule Warriors,9/26/2014,0,27474,0,0,49,26603,0.001841898,891
Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,1.1,0.88,0.28,0.18,2.42,85,138,8.1,412,Capcom,T,"3D Edition,SFV,Super Street Fighter IV,Street Fighter,Super Street Fighter IV: 3D Edition",3/25/2011,0,18467,0,0,32,23637,0.00135381,82
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,1.63,1.75,0,0.57,3.95,nan,nan,6.38,595,Yuke's,T,"WWE,WWE 2K16",10/27/2015,10,31978,0.000312715,12,0,41970,0,0
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Fighting,Namco Bandai Games,1.27,1.19,0.31,0.43,3.2,75.33333333,99,8.366666667,299,CyberConnect2,T,"Naruto Shippuden: Ultimate Ninja Storm 2,Naruto Shippuden,Naruto Shippuden: Ultimate Ninja Storm,Ultimate Ninja Storm 2,Naruto",10/19/2010,5,11251,0.000444405,4,5,12667,0.000394726,3
Captain Toad: Treasure Tracker,Wii U,2014,Puzzle,Nintendo,1.06,0.76,0.38,0.18,2.38,81,156,8.6,754,Nintendo EAD Tokyo,E,"Captain Toad: Treasure Tracker,Captain Toad,Treasure Tracker",12/5/2014,9,30997,0.000290351,23,15,28601,0.000524457,1204
Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,1.51,0.62,0.75,0.26,3.11,52,128,4.9,774,Slant Six,M,"Operation Raccoon City,Resident Evil: Operation Raccoon City,Resident Evil",3/20/2012,33,42460,0.000777202,845,173,43556,0.003971898,973
Grand Theft Auto V,Windows,2015,Action,Take-Two Interactive,0.78,1.38,0,0.18,2.34,96,114,7.9,7512,Rockstar North,M,"Grand Theft Auto,Grand Theft Auto V,GTA",4/14/2015,931,31397,0.029652515,72809,198,32568,0.006079587,2036
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,1.81,1.86,0,0.62,4.29,57,123,4.6,513,Yuke's,T,"WWE 2K15,WWE",10/28/2014,8,26903,0.000297365,974,27,30767,0.000877564,63
WWE 2K14,PS3,2013,Sports,Take-Two Interactive,1.62,1.29,0,0.48,3.39,74.33333333,87,7.566666667,342,Yuke's,T,"WWE 2K14,WWE",10/29/2013,17,40147,0.000423444,644,36,52486,0.000685897,1908
Red Dead Redemption: Undead Nightmare,PS3,2010,Action,Take-Two Interactive,1.47,1.28,0.14,0.46,3.35,nan,nan,7.466666667,52,Rockstar San Diego,M,"Red Dead Redemption: Undead Nightmare,Red Dead Redemption,Red Dead,Undead Nightmare",10/26/2010,68,11587,0.005868646,260,37,12925,0.002862669,151
Sunset Overdrive,Xbox One,2014,Shooter,Microsoft Game Studios,1.26,0.8,0,0.2,2.28,81,178,7.7,2274,Insomniac Games,M,Sunset Overdrive,10/28/2014,0,26903,0,0,107,30767,0.003477752,3972
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,1.03,0.97,0.22,0.37,2.58,79.66666667,131,8.3,453,CyberConnect2,T,"Naruto Shippuden,Ultimate Ninja Storm 4,Naruto Shippuden: Ultimate Ninja Storm,Naruto Shippuden: Ultimate Ninja Storm 4,Naruto",2/9/2016,32,33623,0.000951729,31,82,32722,0.002505959,71
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.91,1.32,0,0.39,2.62,83,185,7.766666667,1373,Ubisoft Montreal,M,"Watch Dogs,Watch Dogs 2",11/15/2016,163,46575,0.003499732,3070,359,45020,0.007974234,8995
Alien: Isolation,PS4,2014,Shooter,Sega,1.17,1.64,0.08,0.45,3.38,nan,nan,8.1,2128,Creative Assembly,M,"Alien: Isolation,Alien,Isolation",10/7/2014,97,26546,0.003654035,4122,498,27517,0.018097903,15357
ModNation Racers,PS3,2010,Racing,Sony Computer Entertainment,1.11,1.06,0.14,0.46,2.77,79,192,8.166666667,424,United Front Games,E,ModNation Racers,5/25/2010,24,10624,0.002259036,93,26,10759,0.002416581,38
Crackdown 2,Xbox 360,2010,Shooter,Microsoft Game Studios,1.26,0.72,0.04,0.2,2.24,70,182,6,404,Ruffian Games,M,"Crackdown 2,Crackdown",7/9/2010,41,11136,0.003681753,67,16,10293,0.001554454,94
Dragon Age II,Xbox 360,2011,Action,Electronic Arts,2.07,1.17,0.07,0.37,3.68,80.5,247,4.45,10490,BioWare,M,"Dragon Age,Dragon Age II",3/8/2011,259,18469,0.014023499,1494,0,18956,0,0
Fight Night Champion,PS3,2011,Fighting,Electronic Arts,1.3,1.29,0,0.43,3,84.66666667,163,7.333333333,295,EA Canada,M,Fight Night Champion,3/1/2011,6,17995,0.000333426,9,0,18692,0,0
Pikmin 3,Wii U,2013,Strategy,Nintendo,0.88,0.64,0.58,0.14,2.22,87,158,8.7,1328,Nintendo,E10+,"Pikmin 3,Pikmin",8/4/2013,43,64843,0.00066314,1401,0,51585,0,0
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,1.11,1.32,0.38,0.43,3.26,nan,nan,7.28,1432,Dimps Corporation,T,"Dragon Ball: XenoVerse,Dragon Ball,XenoVerse,Dragonball",2/24/2015,32,30781,0.001039602,62,198,30744,0.006440281,6346
Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment,1.42,0.87,0.21,0.35,2.86,84.33333333,194,7.933333333,1173,Mercury Steam,M,"Castlevania: Lords of Shadow,Lords of Shadow,Castlevania",10/5/2010,32,11758,0.002721551,128,25,11731,0.002131106,28
Plants vs. Zombies,DS,2011,Strategy,Mastertronic,1.8,0.24,0,0.16,2.2,81,46,7.4,58,TOSE,E10+,Plants vs. Zombies,1/18/2011,16,16347,0.000978773,2874,22,17725,0.001241185,479
NCAA Football 14,Xbox 360,2013,Sports,Electronic Arts,2.77,0,0,0.25,3.02,77,45,5.933333333,188,EA Tiburon,E,"NCAA Football 14,NCAA Football",7/9/2013,7,77675,9.01E-05,16,15,63634,0.000235723,21
Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.51,1.53,0.04,0.34,2.44,82.33333333,90,6.333333333,861,Slightly Mad Studios,E,Project CARS,5/6/2015,43,32814,0.001310416,300,176,31599,0.005569797,4622
Sonic Free Riders,Xbox 360,2010,Racing,Sega,1.48,0.5,0,0.18,2.18,47,104,2.1,196,Sega,E,"Sonic Free Riders,Sonic",11/4/2010,4,11812,0.000338639,8,60,14316,0.004191115,526
WWE SmackDown vs. Raw 2011,PS3,2010,Fighting,THQ,2.07,1.78,0.02,0.72,4.6,nan,nan,5.983333333,nan,Yuke's,T,"WWE SmackDown vs. Raw,WWE SmackDown vs. Raw 2011,WWE",10/26/2010,3,11587,0.000258911,3,4,12925,0.000309478,4
NCAA Football 13,Xbox 360,2012,Action,Electronic Arts,2.86,0,0,0.21,3.07,77,49,5.033333333,164,EA Tiburon,E,"NCAA Football 13,NCAA Football",7/10/2012,7,49014,0.000142816,5,15,60299,0.00024876,18
Final Fantasy XIV: A Realm Reborn,PS3,2013,Role-Playing,Square Enix,0.74,0.6,0.56,0.26,2.16,nan,nan,nan,nan,nan,nan,"A Realm Reborn,Final Fantasy XIV,Final Fantasy XIV: A Realm Reborn,Final Fantasy",8/27/2013,149,52046,0.002862852,6375,174,52303,0.003326769,3819
Forza Horizon 3,Xbox One,2016,Racing,Microsoft Game Studios,0.84,1.16,0,0.16,2.16,91,180,7.4,1188,Playground Games,E,"Forza Horizon,Forza Horizon 3",9/27/2016,125,34922,0.003579406,1121,134,38675,0.003464771,9187
Disney Infinity 2.0: Marvel Super Heroes,Xbox 360,2014,Action,Disney Interactive Studios,2.63,1.63,0,0.56,4.82,nan,nan,nan,nan,nan,nan,"Disney Infinity 2.0: Marvel Super Heroes,Marvel,Disney Infinity 2.0,Marvel Super Heroes",9/23/2014,18,27915,0.000644815,488,13,26444,0.000491605,54
Plants vs. Zombies: Garden Warfare,Xbox 360,2014,Shooter,Electronic Arts,1.41,1.17,0,0.24,2.85,71.33333333,77,7.333333333,680,PopCap,E10+,"Garden Warfare,Plants vs. Zombies: Garden Warfare,Plants vs. Zombies",2/25/2014,19,40714,0.00046667,4060,43,37893,0.001134774,254
LEGO Marvel Super Heroes,Xbox One,2013,Action,Warner Bros. Interactive Entertainment,1.22,0.7,0,0.18,2.12,nan,nan,6.8,146,TT Games,E10+,"Marvel,LEGO Marvel Super Heroes",11/22/2013,0,52068,0,0,10,43294,0.000230979,88
EA Sports UFC,PS4,2014,Sports,Electronic Arts,1.22,0.94,0.02,0.38,2.57,70,137,6.166666667,710,EA Sports,T,EA Sports UFC,6/17/2014,13,36784,0.000353415,18,45,32073,0.001403049,352
UFC Undisputed 3,PS3,2012,Action,THQ,1.82,0.84,0.06,0.34,3.05,85.66666667,120,7.466666667,272,Yuke's,T,"UFC Undisputed 3,UFC Undisputed",2/14/2012,24,37400,0.000641711,30,20,41380,0.000483325,21
Disney Universe,Wii,2011,Action,Disney Interactive Studios,1.95,0.92,0,0.34,3.22,64.5,82,6.05,36,Eurocom Entertainment Software,E10+,Disney Universe,10/25/2011,0,31619,0,0,0,48583,0,0
Dance on Broadway,Wii,2010,Misc,Ubisoft,0.5,1.3,0,0.24,2.04,48,12,3.3,8,Longtail Studios,E10+,Dance on Broadway,6/15/2010,0,10416,0,0,0,10515,0,0
Bulletstorm,Xbox 360,2011,Shooter,Electronic Arts,1.52,0.91,0.03,0.26,2.73,83.25,257,7.65,1934,"Epic Games, People Can Fly",M,Bulletstorm,2/22/2011,142,17601,0.008067723,2009,195,18670,0.010444563,3233
Sonic Generations,3DS,2011,Platform,Sega,0.88,0.94,0.02,0.18,2.04,66,58,6.9,216,"Sega, Dimps Corporation",E,"Sonic Generations,Sonic",11/22/2011,0,48583,0,0,27,37295,0.000723958,507
Pokemon Conquest,DS,2012,Role-Playing,Nintendo,1.12,0.1,0.74,0.08,2.04,80,80,8.2,178,Koei,E,"Pokemon Conquest,Pokemon",6/18/2012,315,48562,0.006486553,17178,438,54695,0.008008045,21156
ZombiU,Wii U,2012,Action,Ubisoft,1.04,0.72,0.1,0.16,2.02,77,140,7.7,1516,Ubisoft Montpellier,M,ZombiU,11/18/2012,6,47446,0.00012646,237,31,48637,0.000637375,115
God of War: Ghost of Sparta,PSP,2010,Action,Sony Computer Entertainment,0.82,0.7,0.06,0.42,2,86,146,8.4,510,Ready at Dawn,M,"God of War: Ghost of Sparta,God of War,Ghost of Sparta",11/2/2010,10,11731,0.000852442,17,8,14151,0.000565331,8
Rayman Origins,PS3,2011,Platform,Ubisoft,1.25,1.57,0.02,0.48,3.33,88.25,154,8.325,812,UBlart Montpellier,E10+,Rayman Origins,11/15/2011,0,47876,0,0,22,38159,0.000576535,240
NCAA Football 12,Xbox 360,2011,Sports,Electronic Arts,2.66,0,0,0.17,2.81,82,67,6.333333333,139,EA Sports,E,"NCAA Football 12,NCAA Football",7/12/2011,9,25664,0.000350686,5,13,25164,0.000516611,17
Kirby: Mass Attack,DS,2011,Platform,Nintendo,0.96,0.12,0.82,0.1,1.98,83,92,8.6,110,HAL Labs,E,"Kirby: Mass Attack,Mass Attack,Kirby",10/28/2011,15,32822,0.000457011,28,18,47878,0.000375956,972
Dead Space 3,Xbox 360,2013,Action,Electronic Arts,1.72,0.88,0,0.32,2.92,77.33333333,173,6.4,1910,Visceral Games,M,"Dead Space 3,Dead Space",2/5/2013,322,48084,0.006696614,13110,702,47163,0.014884549,38979
Rocksmith 2014,PS3,2013,Misc,Ubisoft,2.11,0.88,0.1,0.47,3.55,nan,nan,nan,nan,nan,nan,"Rocksmith 2014,Rocksmith",10/22/2013,10,41878,0.000238789,15,12,49183,0.000243987,32
Tom Clancy's Splinter Cell: Blacklist,Xbox 360,2013,Action,Ubisoft,1.56,1.23,0.08,0.33,3.21,81,161,7.58,1982,Ubisoft Toronto,M,"Tom Clancy's,Tom Clancy's Splinter Cell,Tom Clancy's Splinter Cell: Blacklist,Blacklist",8/20/2013,43,53451,0.000804475,90,172,51787,0.003321297,3299
Guitar Hero: Warriors of Rock,Wii,2010,Misc,Activision,1.74,1.45,0,0.39,3.59,75,163,7.15,115,"Vicarious Visions, Neversoft Entertainment",T,"Guitar Hero: Warriors of Rock,Guitar Hero,Warriors of Rock",9/28/2010,12,11797,0.001017208,23,24,11587,0.002071287,323
Sniper Elite V2,PS3,2012,Shooter,505 Games,1.22,1.04,0.14,0.35,2.76,69,79,6.866666667,315,Rebellion,M,Sniper Elite V2,5/2/2012,101,44659,0.002261582,1698,89,44346,0.002006945,255
Mario Tennis Open,3DS,2012,Sports,Nintendo,0.52,0.58,0.68,0.1,1.9,69,116,6.9,220,Camelot Software Planning,E,"Mario Tennis Open,Mario",5/20/2012,417,44998,0.009267079,19267,476,48307,0.009853644,26904
PilotWings Resort,3DS,2011,Simulation,Nintendo,0.8,0.72,0.26,0.14,1.9,71,128,7.4,176,Monster Games Inc.,E,PilotWings Resort,3/27/2011,4,18630,0.000214707,48,0,24031,0,0
PlayStation All-Stars Battle Royale,PS3,2012,Action,Sony Computer Entertainment,1.21,0.68,0.09,0.39,2.35,74.33333333,153,7.366666667,1301,SuperBot Entertainment,T,PlayStation All-Stars Battle Royale,11/20/2012,26,48318,0.000538102,38,20,48341,0.000413727,38
Epic Mickey 2: The Power of Two,Wii,2012,Action,Disney Interactive Studios,1.47,0.49,0.01,0.16,2.13,nan,nan,nan,nan,nan,nan,"Epic Mickey 2: The Power of Two,The Power of Two,Epic Mickey 2,Epic Mickey 2: The Power of",12/13/2012,2,49505,4.04E-05,5,6,49872,0.000120308,0
Pro Evolution Soccer 2014,PS3,2013,Action,Konami Digital Entertainment,0.13,0.97,1.02,0.02,2.14,78.66666667,101,4.166666667,719,Konami,E,"Pro Evolution Soccer,Pro Evolution Soccer 2014",9/24/2013,9,52303,0.000172074,16,4,41878,9.55E-05,3
Driver: San Francisco,PS3,2011,Racing,Ubisoft,0.84,1.6,0.02,0.48,2.94,76.4,187,7.24,700,Ubisoft Reflections,T,"Driver: San Francisco,San Francisco,Driver",9/6/2011,29,30946,0.000937116,147,41,28961,0.001415697,506
Army of Two: The 40th Day,Xbox 360,2010,Shooter,Electronic Arts,1.8,0.88,0.01,0.38,3.07,67.25,225,6.9,372,EA Montreal,M,"Army of Two,Army of Two: The 40th Day,The 40th Day",1/12/2010,9,7474,0.001204174,20,25,8689,0.002877201,18
Just Dance 2016,Wii,2015,Misc,Ubisoft,1.84,1.45,0,0.36,3.66,nan,nan,5,nan,Ubisoft,E10+,"Just Dance,Just Dance 2016",10/20/2015,3,31009,9.67E-05,1,8,40102,0.000199491,747
Skylanders: Trap Team,Wii,2014,Action,Activision,2.61,2.1,0,0.54,5.25,nan,nan,nan,nan,Toys for Bob,E10+,"Trap Team,Skylanders,Skylanders: Trap Team",10/5/2014,3,26863,0.000111678,3,7,27363,0.00025582,552
Lost Planet 2,PS3,2010,Shooter,Capcom,0.96,0.89,0.48,0.32,2.66,nan,nan,nan,nan,Capcom,T,"Lost Planet 2,Lost Planet",5/11/2010,23,11111,0.002070021,26,22,9982,0.002203967,20
Rise of the Tomb Raider,PS4,2016,Adventure,Square Enix,0.46,1.06,0.08,0.28,1.88,nan,nan,nan,nan,nan,nan,"Rise of the Tomb Raider,Tomb Raider",10/11/2016,103,33761,0.003050857,6742,73,44939,0.001624424,934
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.93,0.8,0.31,0.35,2.37,74.66666667,80,7.833333333,441,CyberConnect2,T,"Ultimate Ninja Storm 3,Naruto Shippuden,Naruto Shippuden: Ultimate Ninja Storm,Naruto,Naruto Shippuden: Ultimate Ninja Storm 3",3/5/2013,4,47163,8.48E-05,3,20,50923,0.00039275,14
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.82,1.12,0,0.34,2.27,78,118,6.133333333,391,EA Sports,T,"EA Sports UFC 2,EA Sports UFC",3/15/2016,11,32870,0.000334652,13,43,32855,0.001308781,43
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,2.25,2.18,0,0.69,5.12,nan,nan,6.9875,250,TT Games,E10+,"Batman,Lego Batman 3,Beyond Gotham,Lego Batman 3: Beyond Gotham",11/11/2014,28,28394,0.000986124,377,6,31177,0.00019245,6
Assassin's Creed III,Windows,2012,Action,Ubisoft,0.56,1.06,0,0.24,1.86,80,42,6.2,2978,Ubisoft,M,"Assassin's Creed,Assassin's Creed III",11/20/2012,0,48318,0,0,33,48341,0.00068265,418
NCAA Football 11,Xbox 360,2010,Sports,Electronic Arts,2.7,0.15,0,0.23,3.07,nan,nan,5.4,nan,EA Tiburon,E,"NCAA Football 11,NCAA Football",7/13/2010,8,10515,0.000760818,8,6,10273,0.000584055,9
Monster High: Ghoul Spirit,DS,2011,Misc,THQ,1.8,0.39,0,0.18,2.37,nan,nan,0,nan,ImaginEngine,E,"Monster High,Ghoul Spirit,Monster High: Ghoul Spirit",10/25/2011,1,31619,3.16E-05,1,0,48583,0,0
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,1.68,0.17,0,0.41,2.24,nan,nan,8.15,391,SCEA San Diego Studios,E,"The Show,MLB 15: The Show,MLB 15",3/31/2015,3,30786,9.74E-05,3,10,33397,0.000299428,16
South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,1.51,1.04,0,0.42,2.95,84.25,143,8.5,3252,Obsidian Entertainment,M,"South Park: The Stick of Truth,The Stick of Truth,South Park",3/4/2014,166,41124,0.004036572,10096,601,37736,0.015926436,26888
MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,1.89,0,0,0.14,2.03,83.33333333,61,7.6,192,SCEA San Diego Studios,E,"The Show,MLB 12,MLB 12: The Show",3/6/2012,0,40589,0,0,1,42792,2.34E-05,1
Wii Play: Motion,Wii,2011,Misc,Nintendo,0.46,0.84,0.36,0.18,1.84,60,68,6.1,32,Nintendo,E10+,"Wii Play: Motion,Wii Play,Motion",6/13/2011,2,27033,7.40E-05,2,49,25794,0.001899667,230
Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.82,0.34,0.6,0.1,1.82,74,42,8.2,124,Marvelous AQL,E,"Harvest Moon 3D: A New Beginning,Harvest Moon 3D,A New Beginning",10/19/2012,0,41505,0,0,0,47032,0,0
Injustice: Gods Among Us,PS4,2013,Fighting,Warner Bros. Interactive Entertainment,1.01,0.6,0,0.35,1.95,nan,nan,nan,nan,nan,nan,"Injustice,Gods Among Us,Injustice: Gods Among Us",11/12/2013,1,42712,2.34E-05,0,17,52525,0.000323655,11
Street Fighter V,PS4,2016,Fighting,Capcom,0.8,0.56,0.16,0.28,1.8,77,160,3.4,2442,Capcom,T,"Street Fighter V,SFV,Street Fighter",2/16/2016,13,33371,0.00038956,30,224,32870,0.006814725,1014
Crysis 3,Xbox 360,2013,Shooter,Electronic Arts,1.45,1.43,0.05,0.39,3.3,76.25,160,6.55,2199,Crytek,M,"Crysis 3,Crysis",2/19/2013,304,47480,0.006402696,7663,0,48904,0,0
The Witcher 2: Assassins of Kings,Xbox 360,2012,Action,Namco Bandai Games,0.96,0.64,0.04,0.16,1.8,88,164,8.3,1636,CD Projekt Red Studio,M,"The Witcher 2: Assassins of Kings,Witcher,Assassins of Kings,The Witcher 2",4/17/2012,12,43556,0.000275507,14,2,45213,4.42E-05,11
The Elder Scrolls Online,Windows,2014,Role-Playing,Bethesda Softworks,0.64,1.02,0,0.14,1.8,71,128,5.7,4842,ZeniMax Media,M,"Elder Scrolls,The Elder Scrolls Online",4/4/2014,177,37138,0.004766008,8884,68,32122,0.002116929,547
SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,1.32,0.22,0.08,0.16,1.78,67,128,6.3,242,Zipper Interactive,M,"U.S. Navy SEALs,SOCOM 4: U.S. Navy SEALs,SOCOM 4",4/19/2011,1,23810,4.20E-05,1,0,23329,0,0
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,1.6,0,0,0.38,1.97,nan,nan,nan,nan,nan,nan,"MLB 16: The Show,The Show,MLB 16",3/29/2016,37,32446,0.001140356,79,20,34167,0.00058536,21
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,1.64,0.77,0,0.3,2.74,81.25,146,6.85,66,Electronic Arts,E,"The Masters,Tiger Woods PGA Tour 12: The Masters,Tiger Woods PGA Tour 12",3/29/2011,2,18692,0.000106998,6,4,24451,0.000163592,5
The Jak and Daxter Collection,PS3,2012,Platform,Sony Computer Entertainment,1.2,0.36,0,0.22,1.78,nan,nan,nan,nan,nan,nan,The Jak and Daxter Collection,2/22/2012,2,39021,5.13E-05,4,0,42508,0,0
The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.54,0.92,0,0.3,1.76,78,74,8.1,120,Crystal Dynamics,T,"The Tomb Raider Trilogy,Tomb Raider",3/22/2011,6,18670,0.000321371,11,7,23810,0.000293994,108
Minecraft: Story Mode,Xbox 360,2015,Adventure,Mojang,1.8,1.57,0,0.44,3.79,nan,nan,nan,nan,nan,nan,"Minecraft,Minecraft: Story Mode,Story Mode",10/13/2015,348,30563,0.011386317,15083,441,35933,0.012272841,530
Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.42,0.24,0.92,0.16,1.76,78,104,8.3,288,Square Enix,T,"Dissidia 012: Duodecim Final Fantasy,Duodecim Final Fantasy,Final Fantasy,Dissidia 012",3/22/2011,6,18670,0.000321371,8,4,23810,0.000167997,5
Resident Evil: Revelations,3DS,2012,Action,Capcom,0.6,0.44,0.6,0.1,1.76,82,156,8.5,794,Capcom,M,"Revelations,Resident Evil: Revelations,Resident Evil",2/7/2012,52,36449,0.001426651,923,46,40589,0.001133312,882
Rock Band 3,Xbox 360,2010,Misc,MTV Games,2.49,0.33,0,0.22,3.05,89.4,166,7.36,411,Harmonix Music Systems,T,"Rock Band 3,Rock Band",10/26/2010,25,11587,0.00215759,428,56,12925,0.004332689,270
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,1.02,0.79,0.06,0.32,2.19,81.33333333,109,7.8,809,Gearbox Software,M,"The Handsome Collection,Borderlands: The Handsome Collection,Borderlands",3/24/2015,80,30744,0.002602134,659,10,31602,0.000316436,30
Kingdoms of Amalur: Reckoning,Xbox 360,2012,Role-Playing,Electronic Arts,1.61,0.9,0.11,0.28,2.89,80.5,201,7.4,2365,Big Huge Games,M,"Reckoning,Kingdoms of Amalur: Reckoning,Kingdoms of Amalur",2/7/2012,106,36449,0.002908173,561,163,40589,0.004015866,1523
Michael Jackson: The Experience,Xbox 360,2011,Misc,Ubisoft,1.49,0.55,0,0.22,2.26,64,73,7.333333333,74,Ubisoft Montreal,E10+,"The Experience,Michael Jackson,Michael Jackson: The Experience",4/12/2011,25,19704,0.001268778,64,23,25902,0.000887962,498
LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.84,0.6,0.02,0.3,1.74,73,138,6.9,318,"Media Molecule, United Front Games",E,LittleBigPlanet Karting,11/6/2012,1,43388,2.30E-05,2,0,50133,0,0
