,Unnamed: 0,Unnamed: 0.1,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date
23,29,29,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,3.69,14.889999999999999,0.31000000000000005,4.8100000000000005,23.68,,,5.075,1490.0,Electronic Arts,E,"FIFA Soccer,FIFA Soccer 13",9/25/2012
24,30,30,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,5.58,3.44,6.28,0.82,16.14,,,,,,,"Pokemon Black 2/Pokemon White 2,Pokemon,Pokemon Black 2/Pokemon White",10/12/2012
25,31,31,Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,8.15,8.64,0.46,2.92,20.17,,,,,,,"Star Wars Battlefront (2015),Star Wars,Star Wars Battlefront",11/17/2015
26,33,33,FIFA 17,PS4,2016.0,Sports,Electronic Arts,1.87,14.38,0.19,2.52,18.939999999999998,,,4.1,1041.0,"EA Sports, EA Vancouver",E,"FIFA,FIFA 17",9/27/2016
27,35,35,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,7.12,4.7,1.96,1.24,15.02,97.0,174.0,9.1,3708.0,Nintendo EAD Tokyo,E,"Super Mario Galaxy,Super Mario Galaxy 2,Mario",5/23/2010
28,37,37,Battlefield 3,Xbox 360,2011.0,Shooter,Electronic Arts,12.66,8.54,0.47,2.92,24.590000000000003,85.5,213.0,7.45,10971.0,EA DICE,M,"Battlefield 3,Battlefield",10/25/2011
30,39,39,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,8.08,8.530000000000001,0.49,2.7399999999999998,19.83,86.5,193.0,6.15,17717.0,Bethesda Game Studios,M,"Fallout 4,Fallout",11/10/2015
31,40,40,Pokemon Sun/Moon,3DS,2016.0,Role-Playing,Nintendo,5.96,2.9,4.52,0.9,14.28,,,,,,,"Pokemon,Pokemon Sun/Moon",11/18/2016
32,42,42,Just Dance 4,Wii,2012.0,Misc,Ubisoft,9.47,4.750000000000001,0.0,1.2800000000000002,15.499999999999998,73.6,62.0,7.4399999999999995,158.0,Ubisoft,E10+,"Just Dance 4,Just Dance",10/9/2012
33,43,43,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,5.54,5.5,0.38,2.06,13.48,92.0,194.0,8.3,7424.0,Naughty Dog,T,"Uncharted 3,Drake's Deception,Uncharted 3: Drake's Deception",11/1/2011
34,45,45,FIFA 12,PS3,2011.0,Sports,Electronic Arts,2.91,12.719999999999999,0.26,3.6999999999999993,19.62,,,,,,,"FIFA,FIFA 12",9/27/2011
35,46,46,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,9.280000000000001,7.01,0.43000000000000005,2.56,19.3,95.0,242.0,8.866666666666667,7228.0,Rockstar San Diego,M,"Red Dead,Red Dead Redemption",5/18/2010
36,48,48,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,8.41,6.73,0.35,2.68,18.19,84.66666666666667,143.0,6.833333333333333,3810.0,Ubisoft,M,"Assassin's Creed,Assassin's Creed III",10/30/2012
37,49,49,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,6.34,3.58,2.06,0.92,12.88,87.0,154.0,8.6,736.0,Retro Studios,E,"Donkey Kong,Donkey Kong Country Returns",11/21/2010
40,52,52,Gears of War 3,Xbox 360,2011.0,Shooter,Microsoft Game Studios,8.1,3.18,0.14,1.0,12.42,91.0,192.0,7.8,3008.0,Epic Games,M,"Gears of War 3,Gears of War,Gears",9/20/2011
41,53,53,Kinect Sports,Xbox 360,2010.0,Sports,Microsoft Game Studios,7.84,3.46,0.06,1.02,12.38,73.0,102.0,7.4,190.0,Rare Ltd.,E10+,Kinect Sports,10/9/2010
42,54,54,FIFA 15,PS4,2014.0,Sports,Electronic Arts,3.89,16.08,0.19,3.0,23.139999999999997,,,4.4125,2606.0,EA Sports,E,"FIFA,FIFA 15",9/23/2014
43,55,55,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,4.82,4.36,0.56,1.98,11.74,95.0,196.0,9.1,16006.0,Naughty Dog,M,The Last of Us,6/14/2013
44,56,56,Destiny,PS4,2014.0,Shooter,Activision,9.110000000000001,6.049999999999999,0.44,2.58,18.19,,,5.38,13444.0,"Bungie Software, Bungie",T,Destiny,9/9/2014
45,57,57,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,8.41,4.970000000000001,0.26,2.04,15.690000000000001,95.33333333333333,171.0,8.633333333333333,5796.0,Rocksteady Studios,T,"Batman,Batman: Arkham City,Arkham City",10/18/2011
47,59,59,Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,3.7,5.0,0.38,1.7,10.76,93.0,226.0,7.9,14128.0,Naughty Dog,T,"A Thief's End,Uncharted 4: A Thief's End,Uncharted 4",5/10/2016
49,64,64,New Super Mario Bros. U,Wii U,2012.0,Platform,Nintendo,4.6,2.68,2.54,0.64,10.44,84.0,140.0,8.1,1466.0,Nintendo,E,"Mario,New Super Mario Bros. U",11/18/2012
51,66,66,Diablo III,Windows,2012.0,Role-Playing,Activision,4.88,4.32,0.0,1.08,10.28,88.0,172.0,4.0,19258.0,Blizzard Entertainment,M,"Diablo III,Diablo",5/15/2012
52,67,67,Fable III,Xbox 360,2010.0,Role-Playing,Microsoft Game Studios,7.18,2.16,0.1,0.76,10.2,80.0,176.0,6.5,1208.0,Lionhead Studios,M,"Fable,Fable III",10/26/2010
53,68,68,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,2.56,11.109999999999998,0.15,3.56,17.39,,,6.114285714285714,,EA Sports,E,"FIFA Soccer,FIFA Soccer 11",9/28/2010
54,70,70,StarCraft II: Wings of Liberty,Windows,2010.0,Strategy,Activision,5.14,3.36,0.0,1.16,9.68,93.0,164.0,8.2,6104.0,Blizzard Entertainment,T,"StarCraft II,StarCraft II: Wings of Liberty,Wings of Liberty",7/27/2010
55,71,71,God of War III,PS3,2010.0,Action,Sony Computer Entertainment,5.48,2.66,0.24,1.22,9.6,92.0,202.0,8.7,5266.0,SCE Santa Monica,M,"God of War,God of War III",3/16/2010
57,75,75,Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,3.6,2.78,2.22,0.58,9.18,86.0,148.0,8.4,916.0,Next Level Games,E,"Dark Moon,Luigi's Mansion,Luigi's Mansion: Dark Moon",3/24/2013
58,76,76,Forza Motorsport 4,Xbox 360,2011.0,Racing,Microsoft Game Studios,4.16,3.94,0.12,0.92,9.14,91.0,166.0,8.2,1234.0,Turn 10,E,"Forza Motorsport,Forza Motorsport 4",10/13/2011
59,77,77,Halo 5: Guardians,Xbox One,2015.0,Shooter,Microsoft Game Studios,5.56,2.54,0.06,0.82,8.96,84.0,202.0,6.4,4876.0,343 Industries,T,"Halo,Halo 5: Guardians,Halo 5,Guardians",10/27/2015
60,78,78,Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision,4.72,4.82,0.3,1.65,11.48,76.25,197.0,3.225,2988.0,Infinity Ward,M,"Infinite Warfare,Call of Duty: Infinite Warfare,CoD,Call of Duty",11/4/2016
61,79,79,Splatoon,Wii U,2015.0,Shooter,Nintendo,3.08,2.36,2.92,0.52,8.86,81.0,176.0,8.5,2368.0,Nintendo,E10+,Splatoon,5/29/2015
62,80,80,Nintendo Land,Wii U,2012.0,Misc,Nintendo,5.04,2.22,0.92,0.66,8.84,77.0,122.0,7.9,942.0,Nintendo,E10+,Nintendo Land,11/18/2012
63,81,81,Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,5.6000000000000005,2.71,0.02,0.8200000000000001,9.120000000000001,,,7.3500000000000005,73.0,"Ubisoft Paris, Ubisoft Montpellier",E10+,"The Experience,Michael Jackson,Michael Jackson: The Experience",11/6/2010
64,85,85,Minecraft,PS4,2014.0,Misc,Sony Computer Entertainment Europe,2.96,4.04,0.28,1.36,8.64,,,,,,,Minecraft,9/4/2014
66,88,88,Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,5.07,5.489999999999999,0.24000000000000002,1.8299999999999998,12.629999999999999,80.0,155.0,7.3999999999999995,1790.0,Ubisoft Montreal,M,"Assassin's Creed: Revelations,Assassin's Creed,Revelations",11/15/2011
70,93,93,Battlefield 1,PS4,2016.0,Shooter,Electronic Arts,3.5900000000000003,5.3100000000000005,0.42,1.45,10.790000000000001,87.75,153.0,8.15,3195.0,EA DICE,M,"Battlefield,Battlefield 1",10/21/2016
71,94,94,Fallout: New Vegas,Xbox 360,2010.0,Role-Playing,Bethesda Softworks,7.43,3.54,0.18,1.2600000000000002,12.379999999999999,83.5,258.0,8.15,4784.0,Obsidian Entertainment,M,"New Vegas,Fallout,Fallout: New Vegas",10/19/2010
72,95,95,Watch Dogs,PS4,2014.0,Action,Ubisoft,5.13,5.81,0.33,1.83,13.11,,,5.533333333333334,10707.0,Ubisoft Montreal,M,Watch Dogs,5/27/2014
73,96,96,Far Cry 4,PS4,2014.0,Shooter,Ubisoft,3.9999999999999996,6.540000000000001,0.29000000000000004,1.71,12.530000000000001,,,7.316666666666667,4975.0,Ubisoft Montreal,M,"Far Cry,Far Cry 4",11/18/2014
74,97,97,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,2.94,5.22,0.46,1.34,9.97,92.0,203.0,9.225,34986.0,CD Projekt Red Studio,M,"Witcher,Wild Hunt,The Witcher 3,The Witcher 3: Wild Hunt",5/19/2015
75,98,98,Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,4.83,5.37,0.16,1.61,11.97,70.5,149.0,4.225,6568.0,"Ubisoft, Ubisoft Montreal",M,"Assassin's Creed: Unity,Unity,Assassin's Creed",11/11/2014
76,99,99,Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,4.03,3.8799999999999994,0.2,1.43,9.520000000000001,82.25,208.0,6.074999999999999,8019.0,Rocksteady Studios,M,"Batman,Arkham Knight,Batman: Arkham Knight",6/23/2015
77,100,100,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,4.06,2.32,0.74,0.76,7.9,93.0,162.0,8.0,3916.0,Nintendo,E10+,"Zelda,The Legend of Zelda,The Legend of Zelda: Skyward Sword,Skyward Sword",11/20/2011
79,103,103,NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,8.2,1.7000000000000002,0.09,1.86,11.879999999999999,,,5.516666666666667,945.0,Visual Concepts,E10+,"NBA,NBA 2K16",9/29/2015
80,104,104,Nintendogs + cats,3DS,2011.0,Simulation,Nintendo,2.88,2.82,1.46,0.54,7.7,,,,,,,Nintendogs + cats,3/27/2011
81,105,105,Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,4.26,2.24,0.2,1.0,7.68,76.0,128.0,7.9,208.0,"SCEA, Zindagi Games",E10+,Sports Champions,9/17/2010
83,107,107,Tom Clancy's The Division,PS4,2016.0,Shooter,Ubisoft,4.21,4.23,0.3,1.44,10.17,79.75,194.0,6.675,6240.0,Massive Entertainment,M,"Tom Clancy's,Tom Clancy's The Division",3/8/2016
84,108,108,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,Sega,2.24,3.74,0.54,0.9,7.44,,,,,,,"Sonic,Mario,Mario & Sonic at the London 2012 Olympic Games",11/15/2011
85,109,109,Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,4.73,4.56,0.27,1.46,11.009999999999998,87.0,112.0,7.95,2588.0,Ubisoft,M,"Assassin's Creed IV,Assassin's Creed,Black Flag,Assassin's Creed IV: Black Flag",10/29/2013
87,111,111,Battlefield 4,PS4,2013.0,Shooter,Electronic Arts,2.7,3.1,0.34,1.02,7.18,85.0,36.0,6.9,3160.0,EA DICE,M,"Battlefield,Battlefield 4",11/15/2013
88,112,112,Just Dance 2014,Wii,2013.0,Misc,Ubisoft,5.449999999999999,3.59,0.0,0.9400000000000002,10.01,,,6.771428571428571,232.0,Ubisoft,E10+,"Just Dance,Just Dance 2014",10/8/2013
91,115,115,Assassin's Creed: Brotherhood,Xbox 360,2010.0,Action,Ubisoft,7.57,1.31,0.16999999999999998,0.77,9.8,89.33333333333333,221.0,8.266666666666667,2177.0,Ubisoft Montreal,M,"Assassin's Creed,Assassin's Creed: Brotherhood,Brotherhood",11/16/2010
92,116,116,Battlefield 4,PS3,2013.0,Shooter,Electronic Arts,5.14,4.72,0.56,1.4100000000000001,11.81,80.0,101.0,5.8,5217.0,EA DICE,M,"Battlefield,Battlefield 4",10/29/2013
94,118,118,Battlefield: Bad Company 2,Xbox 360,2010.0,Shooter,Electronic Arts,5.720000000000001,3.6500000000000004,0.16,1.08,10.610000000000001,87.75,255.0,8.5,3777.0,EA DICE,M,"Battlefield: Bad Company,Battlefield,Bad Company 2,Battlefield: Bad Company 2",3/2/2010
95,119,119,Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,2.9300000000000006,3.1500000000000004,1.21,1.12,8.39,,,7.62,9113.0,"Kojima Productions, Moby Dick Studio",M,"MGS,Metal Gear Solid V,The Phantom Pain,Metal Gear Solid V: The Phantom Pain",9/1/2015
96,120,120,LittleBigPlanet 2,PS3,2011.0,Platform,Sony Computer Entertainment,3.66,2.1,0.12,0.92,6.78,91.0,172.0,8.4,1314.0,Media Molecule,E,"LittleBigPlanet,LittleBigPlanet 2",1/18/2011
97,121,121,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,2.24,4.54,0.14,1.1500000000000001,8.08,76.66666666666667,194.0,6.566666666666666,3040.0,Ubisoft Quebec,M,"Assassin's Creed,Assassin's Creed Syndicate",10/23/2015
99,123,123,Far Cry 3,PS3,2012.0,Shooter,Ubisoft,3.36,5.34,0.22,1.7400000000000002,10.66,89.75,146.0,8.45,6512.0,Ubisoft Montreal,M,"Far Cry,Far Cry 3",12/4/2012
101,127,127,Gears of War: Ultimate Edition,Xbox One,2015.0,Shooter,Microsoft Game Studios,5.22,0.66,0.0,0.68,6.56,82.0,148.0,7.5,1126.0,"Splash Damage, The Coalition",M,"Gears,Ultimate Edition,Gears of War,Gears of War: Ultimate Edition",8/25/2015
103,129,129,Madden NFL 16,PS4,2015.0,Sports,Electronic Arts,8.18,0.76,0.0,1.7000000000000002,10.65,,,5.220000000000001,514.0,EA Sports,E,"Madden,Madden NFL 16,Madden NFL",8/25/2015
104,130,130,Gran Turismo 6,PS3,2013.0,Racing,Sony Computer Entertainment,1.44,3.34,0.8,0.88,6.46,81.0,162.0,7.7,1516.0,Polyphony Digital,E,"Gran Turismo 6,Gran Turismo",12/6/2013
105,131,131,Halo: The Master Chief Collection,Xbox One,2014.0,Shooter,Microsoft Game Studios,3.82,2.0,0.06,0.58,6.46,85.0,138.0,7.2,2534.0,343 Industries,M,"Halo,Halo: The Master Chief Collection,The Master Chief Collection",11/11/2014
106,134,134,L.A. Noire,PS3,2011.0,Adventure,Take-Two Interactive,4.0600000000000005,3.5,0.26,1.22,9.04,89.0,239.0,7.733333333333333,2913.0,Team Bondi,M,L.A. Noire,5/17/2011
107,135,135,Mario Party 9,Wii,2012.0,Misc,Nintendo,2.12,2.18,1.52,0.44,6.26,73.0,90.0,6.8,310.0,Nd Cube,E,"Mario Party 9,Mario Party,Mario",3/11/2012
109,137,137,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,Nintendo,2.8,2.02,0.92,0.46,6.2,91.0,162.0,8.9,2114.0,Nintendo,E,"The Legend of Zelda: A Link Between Worlds,The Legend of Zelda,A Link Between Worlds,Zelda",11/22/2013
110,138,138,Resident Evil 6,PS3,2012.0,Shooter,Capcom,2.88,2.48,1.83,0.9600000000000001,8.15,71.66666666666667,139.0,5.266666666666667,4015.0,Capcom,M,"Resident Evil 6,Resident Evil",10/2/2012
111,139,139,Mass Effect 2,Xbox 360,2010.0,Role-Playing,Electronic Arts,3.9899999999999998,1.9400000000000002,0.06,0.6000000000000001,6.59,95.33333333333333,251.0,8.866666666666667,9845.0,BioWare,M,"Mass Effect,Mass Effect 2",1/26/2010
112,140,140,Animal Crossing: Happy Home Designer,3DS,2015.0,Simulation,Nintendo,1.02,2.04,2.8,0.24,6.1,66.0,120.0,6.9,212.0,Nintendo,E,"Happy Home Designer,Animal Crossing: Happy Home Designer,Animal Crossing",9/25/2015
113,141,141,The Sims 4,Windows,2014.0,Simulation,Electronic Arts,2.0,3.64,0.0,0.46,6.1,70.0,148.0,3.9,4114.0,Maxis,T,"The Sims,Sims,The Sims 4",9/2/2014
114,142,142,Borderlands 2,Xbox 360,2012.0,Shooter,Take-Two Interactive,5.25,2.89,0.18,0.95,9.26,89.5,181.0,8.2,5124.0,Gearbox Software,M,"Borderlands,Borderlands 2",9/18/2012
115,143,143,Mass Effect 3,Xbox 360,2012.0,Role-Playing,Electronic Arts,4.91,2.68,0.09,0.7999999999999999,8.47,92.0,201.0,5.65,15225.0,BioWare,M,"Mass Effect,Mass Effect 3",3/6/2012
116,144,144,Heavy Rain,PS3,2010.0,Adventure,Sony Computer Entertainment,2.58,2.42,0.12,0.94,6.06,87.0,214.0,7.7,5518.0,Quantic Dream,M,Heavy Rain,2/23/2010
118,147,147,Epic Mickey,Wii,2010.0,Platform,Disney Interactive Studios,4.08,1.26,0.24,0.44,6.0,73.0,156.0,7.0,262.0,Junction Point,E,Epic Mickey,11/30/2010
119,148,148,NBA 2K13,Xbox 360,2012.0,Sports,Take-Two Interactive,7.36,0.9000000000000001,0.07,0.6900000000000001,9.020000000000001,,,7.38,414.0,Visual Concepts,E,"NBA,NBA 2K13",10/2/2012
120,149,149,Star Wars: The Old Republic,Windows,2011.0,Role-Playing,Electronic Arts,3.16,2.02,0.0,0.76,5.92,85.0,146.0,5.9,5496.0,"LucasArts, BioWare",T,"The Old Republic,Star Wars,Star Wars: The Old Republic",12/20/2011
121,150,150,Middle-Earth: Shadow of Mordor,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,2.87,3.56,0.11,1.09,7.619999999999999,84.75,199.0,8.05,6028.0,Monolith Productions,M,"Middle-Earth: Shadow of Mordor,Middle-Earth,Shadow of Mordor",9/30/2014
122,151,151,Titanfall,Xbox One,2014.0,Shooter,Electronic Arts,3.9000000000000004,1.9000000000000001,0.08,0.5800000000000001,6.460000000000001,86.0,165.0,6.333333333333333,7043.0,Respawn Entertainment,M,Titanfall,3/11/2014
126,155,155,Madden NFL 13,Xbox 360,2012.0,Sports,Electronic Arts,7.45,0.52,0.0,0.5900000000000001,8.58,77.0,100.0,6.1000000000000005,497.0,EA Tiburon,E,"Madden,Madden NFL,Madden NFL 13",8/30/2012
127,156,156,Assassin's Creed IV: Black Flag,PS4,2013.0,Action,Ubisoft,2.14,2.62,0.12,0.84,5.7,83.0,58.0,7.8,3060.0,Ubisoft,M,"Assassin's Creed IV,Assassin's Creed,Black Flag,Assassin's Creed IV: Black Flag",11/15/2013
129,159,159,Zumba Fitness 2,Wii,2011.0,Sports,Majesco Entertainment,3.02,2.06,0.0,0.54,5.62,,,0.0,,"Majesco Games, Majesco",T,"Zumba Fitness,Zumba Fitness 2",11/15/2011
130,162,162,inFAMOUS: Second Son,PS4,2014.0,Action,Sony Computer Entertainment,2.56,1.96,0.14,0.92,5.58,80.0,180.0,7.9,5888.0,Sucker Punch,T,"Second Son,inFAMOUS: Second Son,inFAMOUS",3/21/2014
131,165,165,Skylanders: Spyro's Adventure,Wii,2011.0,Action,Activision,3.99,3.2199999999999998,0.0,0.92,8.139999999999999,,,4.933333333333334,234.0,Toys for Bob,E10+,"Skylanders: Spyro's Adventure,Skylanders,Spyro's Adventure",10/16/2011
133,167,167,Mortal Kombat X,PS4,2015.0,Fighting,Warner Bros. Interactive Entertainment,4.03,1.81,0.0,1.1,6.9399999999999995,84.0,183.0,7.566666666666666,1951.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M,"Mortal Kombat,Mortal Kombat X",4/14/2015
134,168,168,Killzone 3,PS3,2011.0,Shooter,Sony Computer Entertainment,2.9,1.72,0.18,0.76,5.54,84.0,170.0,7.9,1884.0,Guerrilla,M,"Killzone,Killzone 3",2/25/2011
135,169,169,Minecraft,Xbox One,2014.0,Misc,Microsoft Game Studios,3.22,1.8,0.0,0.5,5.52,,,,,,,Minecraft,9/5/2014
136,170,170,Saints Row: The Third,Xbox 360,2011.0,Action,THQ,3.52,3.48,0.32,1.04,8.370000000000001,83.5,212.0,7.75,2627.0,Volition Inc.,M,"Saints Row,Saints Row: The Third,The Third",11/15/2011
139,173,173,Madden NFL 12,Xbox 360,2011.0,Sports,Electronic Arts,6.77,0.37,0.0,0.49,7.63,78.33333333333333,141.0,5.766666666666667,244.0,EA Tiburon,E,"Madden NFL 12,Madden NFL,Madden",9/1/2011
140,174,174,Killzone: Shadow Fall,PS4,2013.0,Shooter,Sony Computer Entertainment,1.78,2.66,0.16,0.78,5.38,73.0,176.0,6.8,4204.0,Guerrilla,M,"Killzone: Shadow Fall,Killzone,Shadow Fall",11/15/2013
141,175,175,Madden NFL 11,Xbox 360,2010.0,Sports,Electronic Arts,5.52,0.26,0.0,0.45999999999999996,6.26,,,4.6,,EA Tiburon,E,"Madden NFL 11,Madden,Madden NFL",8/6/2010
142,176,176,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010.0,Puzzle,Nintendo,3.26,1.02,0.7,0.36,5.34,79.0,102.0,7.7,36.0,Nintendo,E,"Mario vs. Donkey Kong,Mario vs. Donkey Kong: Mini-Land Mayhem!,Mini-Land Mayhem!,Donkey Kong,Mario",11/14/2010
144,179,179,Skate 3,Xbox 360,2010.0,Sports,Electronic Arts,3.73,2.74,0.0,0.8,7.24,80.0,176.0,7.866666666666667,336.0,EA Black Box,T,"Skate,Skate 3",5/11/2010
145,180,180,NBA 2K12,Xbox 360,2011.0,Sports,Take-Two Interactive,6.84,0.6500000000000001,0.07,0.5700000000000001,8.12,,,6.833333333333335,474.0,Visual Concepts,E,"NBA,NBA 2K12",10/4/2011
147,185,185,NBA 2K14,Xbox 360,2013.0,Sports,Take-Two Interactive,7.23,1.11,0.05,1.1,9.51,85.8,107.0,5.380000000000001,993.0,Visual Concepts,E,"NBA,NBA 2K14",10/1/2013
148,186,186,Skylanders Giants,Wii,2012.0,Action,Activision,4.41,2.7199999999999998,0.0,0.77,7.91,75.33333333333333,89.0,6.466666666666668,131.0,Toys for Bob,E10+,Skylanders Giants,10/21/2012
149,187,187,Bloodborne,PS4,2015.0,Action,Sony Computer Entertainment,2.06,1.62,0.52,0.76,4.96,92.0,200.0,8.6,12766.0,From Software,M,Bloodborne,3/24/2015
152,190,190,NBA 2K15,PS4,2014.0,Sports,Take-Two Interactive,6.53,1.58,0.04,1.45,9.59,,,5.36,745.0,Visual Concepts,E,"NBA 2K15,NBA",10/7/2014
