,Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,keywords,release date
88,88,Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,80.0,39.0,7.5,613.0,Ubisoft Montreal,M,"Assassin's Creed: Revelations,Assassin's Creed,Revelations",11/15/2011
89,89,Fallout 4,Xbox One,2015.0,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88.0,39.0,6.2,1749.0,Bethesda Game Studios,M,"Fallout 4,Fallout",11/10/2015
91,91,Assassin's Creed: Revelations,Xbox 360,2011.0,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80.0,77.0,7.2,564.0,Ubisoft Montreal,M,"Assassin's Creed: Revelations,Assassin's Creed,Revelations",11/15/2011
92,92,FIFA 12,Xbox 360,2011.0,Sports,Electronic Arts,0.84,2.78,0.02,0.53,4.18,,,,,,,"FIFA,FIFA 12",9/27/2011
93,93,Battlefield 1,PS4,2016.0,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88.0,31.0,8.4,809.0,EA DICE,M,"Battlefield,Battlefield 1",10/21/2016
94,94,Fallout: New Vegas,Xbox 360,2010.0,Role-Playing,Bethesda Softworks,2.66,1.03,0.04,0.33,4.05,84.0,81.0,8.1,769.0,Obsidian Entertainment,M,"New Vegas,Fallout,Fallout: New Vegas",10/19/2010
95,95,Watch Dogs,PS4,2014.0,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,80.0,80.0,6.3,2996.0,Ubisoft Montreal,M,Watch Dogs,5/27/2014
96,96,Far Cry 4,PS4,2014.0,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85.0,83.0,7.7,1653.0,Ubisoft Montreal,M,"Far Cry,Far Cry 4",11/18/2014
97,97,The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92.0,79.0,9.2,10179.0,CD Projekt Red Studio,M,"Witcher,Wild Hunt,The Witcher 3,The Witcher 3: Wild Hunt",5/19/2015
98,98,Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70.0,40.0,4.9,2050.0,"Ubisoft, Ubisoft Montreal",M,"Assassin's Creed: Unity,Unity,Assassin's Creed",11/11/2014
99,99,Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87.0,89.0,7.6,2679.0,Rocksteady Studios,M,"Batman,Arkham Knight,Batman: Arkham Knight",6/23/2015
100,100,The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,2.03,1.16,0.37,0.38,3.95,93.0,81.0,8,1958.0,Nintendo,E10+,"Zelda,The Legend of Zelda,The Legend of Zelda: Skyward Sword,Skyward Sword",11/20/2011
102,102,The Elder Scrolls V: Skyrim,Windows,2011.0,Role-Playing,Bethesda Softworks,1.16,2.12,0.0,0.6,3.88,94.0,32.0,8.1,9073.0,Bethesda Game Studios,M,"The Elder Scrolls V: Skyrim,Elder Scrolls,Skyrim,The Elder Scrolls V",11/11/2011
103,103,NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,87.0,51.0,6.7,364.0,Visual Concepts,E10+,"NBA,NBA 2K16",9/29/2015
104,104,Nintendogs + cats,3DS,2011.0,Simulation,Nintendo,1.44,1.41,0.73,0.27,3.85,,,,,,,Nintendogs + cats,3/27/2011
105,105,Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,2.13,1.12,0.1,0.5,3.84,76.0,64.0,7.9,104.0,"SCEA, Zindagi Games",E10+,Sports Champions,9/17/2010
106,106,Call of Duty: Ghosts,PS4,2013.0,Shooter,Activision,1.78,1.43,0.05,0.57,3.83,78.0,49.0,3.7,1564.0,Infinity Ward,M,"Ghosts,Call of Duty,CoD,Call of Duty: Ghosts",11/5/2013
107,107,Tom Clancy's The Division,PS4,2016.0,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8,80.0,64.0,7,2219.0,Massive Entertainment,M,"Tom Clancy's,Tom Clancy's The Division",3/8/2016
108,108,Mario & Sonic at the London 2012 Olympic Games,Wii,2011.0,Sports,Sega,1.12,1.87,0.27,0.45,3.72,,,,,,,"Sonic,Mario,Mario & Sonic at the London 2012 Olympic Games",11/15/2011
109,109,Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,88.0,36.0,8.1,840.0,Ubisoft,M,"Assassin's Creed IV,Assassin's Creed,Black Flag,Assassin's Creed IV: Black Flag",10/29/2013
110,110,Star Wars Battlefront (2015),Xbox One,2015.0,Shooter,Electronic Arts,2.04,1.28,0.02,0.32,3.66,,,,,,,"Star Wars Battlefront (2015),Star Wars,Star Wars Battlefront",11/17/2015
111,111,Battlefield 4,PS4,2013.0,Shooter,Electronic Arts,1.35,1.55,0.17,0.51,3.59,85.0,18.0,6.9,1580.0,EA DICE,M,"Battlefield,Battlefield 4",11/15/2013
112,112,Just Dance 2014,Wii,2013.0,Misc,Ubisoft,1.88,1.39,0.0,0.31,3.59,,,6.2,10.0,Ubisoft,E10+,"Just Dance,Just Dance 2014",10/8/2013
113,113,FIFA Soccer 11,Xbox 360,2010.0,Sports,Electronic Arts,0.71,2.39,0.02,0.4,3.52,88.0,66.0,7.5,155.0,EA Sports,E,"FIFA Soccer,FIFA Soccer 11",9/28/2010
114,114,Assassin's Creed: Unity,Xbox One,2014.0,Action,Ubisoft,2.27,0.9,0.0,0.33,3.5,72.0,59.0,4.1,1005.0,"Ubisoft, Ubisoft Montreal",M,"Assassin's Creed: Unity,Unity,Assassin's Creed",11/11/2014
115,115,Assassin's Creed: Brotherhood,Xbox 360,2010.0,Action,Ubisoft,2.85,0.38,0.03,0.24,3.49,89.0,81.0,8.3,693.0,Ubisoft Montreal,M,"Assassin's Creed,Assassin's Creed: Brotherhood,Brotherhood",11/16/2010
116,116,Battlefield 4,PS3,2013.0,Shooter,Electronic Arts,1.3,1.42,0.27,0.5,3.49,80.0,14.0,5.8,579.0,EA DICE,M,"Battlefield,Battlefield 4",10/29/2013
117,117,Battlefield 4,Xbox 360,2013.0,Shooter,Electronic Arts,2.15,1.01,0.02,0.31,3.48,79.0,21.0,5.6,542.0,EA DICE,M,"Battlefield,Battlefield 4",10/29/2013
118,118,Battlefield: Bad Company 2,Xbox 360,2010.0,Shooter,Electronic Arts,2.1,1.01,0.04,0.32,3.47,88.0,75.0,8.6,869.0,EA DICE,M,"Battlefield: Bad Company,Battlefield,Bad Company 2,Battlefield: Bad Company 2",3/2/2010
119,119,Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93.0,86.0,8.2,3943.0,"Kojima Productions, Moby Dick Studio",M,"MGS,Metal Gear Solid V,The Phantom Pain,Metal Gear Solid V: The Phantom Pain",9/1/2015
120,120,LittleBigPlanet 2,PS3,2011.0,Platform,Sony Computer Entertainment,1.83,1.05,0.06,0.46,3.39,91.0,86.0,8.4,657.0,Media Molecule,E,"LittleBigPlanet,LittleBigPlanet 2",1/18/2011
121,121,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76.0,86.0,6.8,1319.0,Ubisoft Quebec,M,"Assassin's Creed,Assassin's Creed Syndicate",10/23/2015
122,122,Destiny,Xbox One,2014.0,Shooter,Activision,2.14,0.92,0.0,0.31,3.37,75.0,11.0,5.5,1735.0,"Bungie Software, Bungie",T,Destiny,9/9/2014
123,123,Far Cry 3,PS3,2012.0,Shooter,Ubisoft,0.88,1.7,0.1,0.67,3.35,90.0,32.0,8.5,1041.0,Ubisoft Montreal,M,"Far Cry,Far Cry 3",12/4/2012
125,125,Assassin's Creed IV: Black Flag,Xbox 360,2013.0,Action,Ubisoft,1.9,1.11,0.01,0.29,3.3,86.0,35.0,7.9,701.0,Ubisoft,M,"Assassin's Creed IV,Assassin's Creed,Black Flag,Assassin's Creed IV: Black Flag",10/29/2013
127,127,Gears of War: Ultimate Edition,Xbox One,2015.0,Shooter,Microsoft Game Studios,2.61,0.33,0.0,0.34,3.28,82.0,74.0,7.5,563.0,"Splash Damage, The Coalition",M,"Gears,Ultimate Edition,Gears of War,Gears of War: Ultimate Edition",8/25/2015
128,128,FIFA 16,Xbox One,2015.0,Sports,Electronic Arts,0.89,2.12,0.0,0.24,3.25,84.0,45.0,4.4,459.0,EA Sports,E,"FIFA,FIFA 16",9/22/2015
129,129,Madden NFL 16,PS4,2015.0,Sports,Electronic Arts,2.34,0.3,0.0,0.6,3.24,83.0,37.0,5.9,180.0,EA Sports,E,"Madden,Madden NFL 16,Madden NFL",8/25/2015
130,130,Gran Turismo 6,PS3,2013.0,Racing,Sony Computer Entertainment,0.72,1.67,0.4,0.44,3.23,81.0,81.0,7.7,758.0,Polyphony Digital,E,"Gran Turismo 6,Gran Turismo",12/6/2013
131,131,Halo: The Master Chief Collection,Xbox One,2014.0,Shooter,Microsoft Game Studios,1.91,1.0,0.03,0.29,3.23,85.0,69.0,7.2,1267.0,343 Industries,M,"Halo,Halo: The Master Chief Collection,The Master Chief Collection",11/11/2014
134,134,L.A. Noire,PS3,2011.0,Adventure,Take-Two Interactive,1.27,1.29,0.12,0.49,3.17,89.0,78.0,7.7,1010.0,Team Bondi,M,L.A. Noire,5/17/2011
135,135,Mario Party 9,Wii,2012.0,Misc,Nintendo,1.06,1.09,0.76,0.22,3.13,73.0,45.0,6.8,155.0,Nd Cube,E,"Mario Party 9,Mario Party,Mario",3/11/2012
136,136,Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.03,0.1,0.46,3.11,82.0,57.0,7.8,492.0,Obsidian Entertainment,M,"New Vegas,Fallout,Fallout: New Vegas",10/19/2010
137,137,The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,Nintendo,1.4,1.01,0.46,0.23,3.1,91.0,81.0,8.9,1057.0,Nintendo,E,"The Legend of Zelda: A Link Between Worlds,The Legend of Zelda,A Link Between Worlds,Zelda",11/22/2013
138,138,Resident Evil 6,PS3,2012.0,Shooter,Capcom,0.88,0.94,0.88,0.4,3.1,74.0,34.0,5.4,1304.0,Capcom,M,"Resident Evil 6,Resident Evil",10/2/2012
139,139,Mass Effect 2,Xbox 360,2010.0,Role-Playing,Electronic Arts,1.99,0.81,0.03,0.27,3.1,96.0,98.0,8.9,3143.0,BioWare,M,"Mass Effect,Mass Effect 2",1/26/2010
140,140,Animal Crossing: Happy Home Designer,3DS,2015.0,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05,66.0,60.0,6.9,106.0,Nintendo,E,"Happy Home Designer,Animal Crossing: Happy Home Designer,Animal Crossing",9/25/2015
141,141,The Sims 4,Windows,2014.0,Simulation,Electronic Arts,1.0,1.82,0.0,0.23,3.05,70.0,74.0,3.9,2057.0,Maxis,T,"The Sims,Sims,The Sims 4",9/2/2014
142,142,Borderlands 2,Xbox 360,2012.0,Shooter,Take-Two Interactive,1.89,0.88,0.04,0.25,3.05,89.0,59.0,8.2,892.0,Gearbox Software,M,"Borderlands,Borderlands 2",9/18/2012
143,143,Mass Effect 3,Xbox 360,2012.0,Role-Playing,Electronic Arts,1.94,0.84,0.03,0.24,3.04,93.0,74.0,5.8,3725.0,BioWare,M,"Mass Effect,Mass Effect 3",3/6/2012
144,144,Heavy Rain,PS3,2010.0,Adventure,Sony Computer Entertainment,1.29,1.21,0.06,0.47,3.03,87.0,107.0,7.7,2759.0,Quantic Dream,M,Heavy Rain,2/23/2010
146,146,Far Cry 3,Xbox 360,2012.0,Shooter,Ubisoft,1.38,1.32,0.02,0.28,3.0,91.0,39.0,8.6,1247.0,Ubisoft Montreal,M,"Far Cry,Far Cry 3",12/4/2012
147,147,Epic Mickey,Wii,2010.0,Platform,Disney Interactive Studios,2.04,0.63,0.12,0.22,3.0,73.0,78.0,7,131.0,Junction Point,E,Epic Mickey,11/30/2010
148,148,NBA 2K13,Xbox 360,2012.0,Sports,Take-Two Interactive,2.6,0.2,0.01,0.19,3.0,88.0,41.0,7.2,131.0,Visual Concepts,E,"NBA,NBA 2K13",10/2/2012
149,149,Star Wars: The Old Republic,Windows,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.96,85.0,73.0,5.9,2748.0,"LucasArts, BioWare",T,"The Old Republic,Star Wars,Star Wars: The Old Republic",12/20/2011
